JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2402334.5240	3.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402335.5040	3.96			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402336.3140	4.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402336.4640	3.98			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402336.5640	3.96			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402337.3140	3.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402337.4440	3.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402338.3440	3.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402338.4540	3.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402340.3340	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402340.5240	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402342.3840	3.43			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402342.5140	3.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402344.4640	3.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402345.3140	4.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402345.4440	4.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402346.3440	4.20			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402347.4640	3.66			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402347.5140	3.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402348.3940	3.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402348.4740	3.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402349.4440	3.75			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402350.4140	3.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402351.4140	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402352.5040	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402354.4540	3.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402356.4140	4.08			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402356.4840	4.08			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402357.3840	3.96			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402358.3740	3.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402358.5040	3.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402359.3740	3.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402360.3940	3.73			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402360.4740	3.80			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402364.4140	3.54			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402371.3940	3.62			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402374.4140	3.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402377.4040	4.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402377.5140	4.02			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402378.4140	4.06			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402383.4440	4.08			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402383.5140	4.07			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402384.4040	4.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402386.4240	3.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402396.4640	3.35			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402396.5140	3.37			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402399.4040	4.02			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402402.4440	3.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402404.4040	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402406.4440	3.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402407.4540	3.57			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402408.4040	3.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402410.4740	4.02			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402411.4140	3.96			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402411.4940	3.92			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402412.4140	3.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402415.4940	4.03			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402416.4640	4.08			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402420.4140	4.00			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402421.4740	4.08			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402422.4140	3.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402423.4340	3.58			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402424.4040	3.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402425.4040	3.95			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
